Ano,Mês,Dia,HORA,Média de Vel 1,Média de Dir 1,Média de Vel_ext 1,VX,VY
2011,2,12,13,4.777666667,93.16666667,4.803166667,-2.98882229,3.759966935
2011,2,12,14,4.028333333,89,4.040666667,-2.737525365,2.97202658
2011,2,12,15,6.183,73.83333333,6.204,-5.250633382,3.304612698
2011,2,12,16,5.289833333,80.5,5.308833333,-4.134359518,3.330282681
2011,2,12,17,5.4205,64.66666667,5.457166667,-5.022656604,2.133913933
2011,2,12,18,5.4235,64,5.486166667,-5.073966366,2.086358075
2011,2,12,19,5.966333333,83.5,6.0565,-4.511315774,4.040943236
2011,2,12,20,5.963166667,109.1666667,6.0755,-2.32317267,5.61378384
2011,2,12,21,4.5885,111.5,4.689666667,-1.615344876,4.402684906
2011,2,12,22,5.254166667,131.8333333,5.3465,0.017286263,5.346472055
2011,2,12,23,6.511333333,124.6666667,6.607166667,-0.803084176,6.558178647
2011,2,13,0,7.142666667,128.1666667,7.282,-0.44219817,7.268561397
2011,2,13,1,6.908833333,137.3333333,7.063333333,0.699718938,7.028589558
2011,2,13,2,4.518333333,144.6666667,4.607333333,1.037880376,4.488911312
2011,2,13,3,6.1205,147.8333333,6.220833333,1.73401909,5.974273609
2011,2,13,4,6.689333333,155.6666667,6.8485,2.787564816,6.255512341
2011,2,13,5,7.342666667,151.5,7.4875,2.54268242,7.042543742
2011,2,13,6,7.208333333,147.8333333,7.329333333,2.043006658,7.038838747
2011,2,13,7,5.383833333,140,5.402333333,0.78470374,5.345039334
2011,2,13,8,5.800666667,127.5,5.817333333,-0.420793942,5.802094412
2011,2,13,9,5.468166667,127.1666667,5.489666667,-0.428939356,5.472883257
2011,2,13,10,9.0945,96.16666667,9.129666667,-5.299213623,7.434322325
2011,2,13,11,6.762,112,6.816833333,-2.292106085,6.419927288
2011,2,13,12,4.890833333,125.5,4.9395,-0.529013131,4.911090038
2011,2,13,13,6.373166667,120.3333333,6.433333333,-1.26221104,6.308296209
