,,,,,129.8556495,,,
Ano,Mês,Dia,HORA,Média de Vel 1,Média de Dir 1,Média de Vel_ext 1,VX,VY
2011,2,11,14,8.260333333,102,8.387166667,-3.918866588,7.415325304
2011,2,11,15,8.564666667,99.33333333,8.700166667,-4.418587754,7.494596873
2011,2,11,16,9.427,95.33333333,9.617166667,-5.450309773,7.92363667
2011,2,11,17,9.619666667,98.83333333,9.810333333,-5.055970071,8.407128329
2011,2,11,18,9.3375,98.5,9.547,-4.967769745,8.152697269
2011,2,11,19,8.5785,105.5,8.834,-3.643136121,8.047801886
2011,2,11,20,7.764333333,119.3333333,8.020833333,-1.464752394,7.885953828
2011,2,11,21,8.711333333,118.1666667,8.991333333,-1.821635141,8.804869137
2011,2,11,22,8.331666667,119.1666667,8.605166667,-1.596066249,8.455853942
2011,2,11,23,7.447,125,7.692,-0.651094446,7.664394302
2011,2,12,0,8.106333333,122.6666667,8.401333333,-1.051363525,8.335288628
2011,2,12,1,7.2085,129.3333333,7.499666667,-0.068367041,7.499355043
2011,2,12,2,6.8435,140.3333333,7.120166667,1.294820416,7.001443669
2011,2,12,3,6.651833333,134.5,6.893,0.558129447,6.87036684
2011,2,12,4,7.055166667,137.5,7.267,0.9666826,7.202417216
2011,2,12,5,6.907166667,133.8333333,7.147666667,0.495818817,7.130448968
2011,2,12,6,6.759166667,127.1666667,6.9465,-0.325890715,6.938851309
2011,2,12,7,8.464333333,117.8333333,8.622833333,-1.796072843,8.433704822
2011,2,12,8,7.630833333,116.1666667,7.719666667,-1.826869349,7.500386779
2011,2,12,9,7.701333333,117.3333333,7.808833333,-1.693110116,7.623073931
2011,2,12,10,9.3805,102,9.514,-4.445374487,8.411589723
2011,2,12,11,8.219666667,87.66666667,8.380666667,-5.62827245,6.209518742
2011,2,12,12,9.322333333,114.1666667,9.664,-2.613293729,9.303955712
2011,2,12,13,6.221833333,121.5,6.318333333,-0.918162673,6.251264945
2011,2,12,14,4.568166667,80,4.601333333,-3.517363096,2.966551076
2011,2,12,15,5.155166667,67.66666667,5.2155,-4.613064266,2.433326597
2011,2,12,16,5.1905,76.66666667,5.271833333,-4.220715023,3.158764218
2011,2,12,17,4.847666667,73.5,4.930333333,-4.10446617,2.731582734
2011,2,12,18,5.279666667,83.16666667,5.492666667,-3.996688756,3.767740185
2011,2,12,19,6.581166667,90.33333333,6.871,-4.372558131,5.300129846
2011,2,12,20,5.649833333,94.83333333,5.877333333,-3.372974825,4.813116239
2011,2,12,21,5.355333333,104.8333333,5.644833333,-2.387602087,5.115026846
2011,2,12,22,5.1655,107,5.408,-2.100525489,4.983398105
2011,2,12,23,5.802333333,122.5,6.082166667,-0.778687283,6.032113848
2011,2,13,0,4.782,105.8333333,5.003666667,-2.03695482,4.570283927
2011,2,13,1,6.227833333,125.8333333,6.616,-0.464079388,6.599703503
2011,2,13,2,4.273833333,133.8333333,4.445166667,0.308351995,4.434458901
2011,2,13,3,5.392833333,138.1666667,5.714833333,0.826058992,5.654816227
2011,2,13,4,5.389166667,143,5.664,1.288022815,5.515604521
2011,2,13,5,5.286333333,147,5.538166667,1.632541218,5.292078911
2011,2,13,6,4.542666667,136.3333333,4.801833333,0.541724677,4.771177814
2011,2,13,7,4.268333333,148.6666667,4.356666667,1.404797223,4.123965229
2011,2,13,8,4.863333333,128.8333333,4.9045,-0.087505287,4.90371931
2011,2,13,9,5.268,113.1666667,5.301,-1.522321767,5.077709862
2011,2,13,10,5.938166667,119.1666667,6.012166667,-1.115122655,5.907846435
2011,2,13,11,8.815333333,95.83333333,9.067666667,-5.073502434,7.515460853
2011,2,13,12,4.893833333,104,5.075333333,-2.213379986,4.567270244
2011,2,13,13,5.438166667,112.6666667,5.6315,-1.664245417,5.379970208
